n,r,s,eta,exact_probability,proved_bound,ratio
2,1,32,0.2,4.571477750696295e-06,0.20189651799465538,2.26426775265996e-05
4,1,32,0.2,9.839275883372043e-05,0.20189651799465538,0.0004873425248291062
5,1,32,0.2,0.00011795553804903963,0.20189651799465538,0.000584237604593865
50,1,32,0.2,2.01911221299818e-11,0.20189651799465538,1.0000728259472162e-10
2,1,32,0.4,9.784627301610896e-09,0.04076220397836621,2.400416647442299e-07
3,1,32,0.4,2.3916566311913215e-08,0.04076220397836621,5.867338852581792e-07
4,1,32,0.4,1.097300560367434e-08,0.04076220397836621,2.6919559132519087e-07
25,1,32,0.4,3.1215381634147983e-24,0.04076220397836621,7.65792292554028e-23
2,1,32,0.8,2.5063256032090663e-21,0.001661557273173934,1.5084196275831299e-18
4,1,32,0.8,4.591168328582303e-31,0.001661557273173934,2.763171876592721e-28
13,1,32,0.8,3.713919759788321e-81,0.001661557273173934,2.2352041784836765e-78
3,2,1,0.03,0.19148947407586125,0.9851119396030626,0.1943834668707998
4,2,1,0.03,0.25320641493630436,0.9851119396030626,0.2570331398463513
8,2,1,0.03,0.33261355702776013,0.9851119396030626,0.3376403672071848
67,2,1,0.03,0.3858105994895127,0.9851119396030626,0.391641380009027
667,2,1,0.03,0.2777990099326354,0.9851119396030626,0.2819974043199301
3,2,1,0.05,0.1866520918701263,0.9753099120283326,0.19137721207195532
4,2,1,0.05,0.2458550042637227,0.9753099120283326,0.2520788533281928
8,2,1,0.05,0.31920488073364334,0.9753099120283326,0.32728559076140146
40,2,1,0.05,0.3535234841366307,0.9753099120283326,0.36247297374576554
400,2,1,0.05,0.22207641389822266,0.9753099120283326,0.22769830508168912
3,2,1,0.1,0.17457219095833923,0.951229424500714,0.1835226985855379
4,2,1,0.1,0.2275176464928617,0.951229424500714,0.2391827256734434
8,2,1,0.1,0.2859078243837888,0.951229424500714,0.3005666320024294
20,2,1,0.1,0.29585838858460195,0.951229424500714,0.31102737253937823
200,2,1,0.1,0.1359549133975285,0.951229424500714,0.1429254708651272
3,2,1,0.2,0.15053296660817445,0.9048374180359595,0.16636465690700697
4,2,1,0.2,0.1912078645890011,0.9048374180359595,0.21131737125111047
8,2,1,0.2,0.22127708896368306,0.9048374180359595,0.2445490035591004
10,2,1,0.2,0.2193874889326958,0.9048374180359595,0.24246067255805842
100,2,1,0.2,0.05418114229010868,0.9048374180359595,0.059879422767146716
3,2,1,0.4,0.10356762665808855,0.8187307530779818,0.1264977848562921
4,2,1,0.4,0.12190138224955764,0.8187307530779818,0.14889068450314688
5,2,1,0.4,0.12393159967533998,0.8187307530779818,0.15137039766666227
8,2,1,0.4,0.1087083947092054,0.8187307530779818,0.1327767331329879
50,2,1,0.4,0.007007478737722315,0.8187307530779818,0.008558953858002781
3,2,1,0.8,0.022410702238350604,0.6703200460356393,0.033432839090655926
4,2,1,0.8,0.017523096306421765,0.6703200460356393,0.02614138784906651
8,2,1,0.8,0.003358068853247997,0.6703200460356393,0.00500965005165526
25,2,1,0.8,2.3415773232738345e-06,0.6703200460356393,3.4932228822966433e-06
3,2,2,0.03,0.07486679966056035,0.9704455335485082,0.07714683315281404
4,2,2,0.03,0.13221534168791815,0.9704455335485082,0.13624189830052869
8,2,2,0.03,0.23163222748863888,0.9704455335485082,0.23868647902542037
67,2,2,0.03,0.3258320520818277,0.9704455335485082,0.3357551153750978
667,2,2,0.03,0.19864510696351956,0.9704455335485082,0.20469475111824006
3,2,2,0.05,0.07133811742987899,0.951229424500714,0.07499570092391043
4,2,2,0.05,0.12529778668282637,0.951229424500714,0.13172194157954406
8,2,2,0.05,0.21585142883216626,0.951229424500714,0.22691836824272274
40,2,2,0.05,0.2793640053870715,0.951229424500714,0.29368730423126416
400,2,2,0.05,0.13590533835386948,0.951229424500714,0.14287335405462687
3,2,2,0.1,0.06285693429791904,0.9048374180359595,0.06946765578545186
4,2,2,0.1,0.10870839470920543,0.9048374180359595,0.12014135638330245
8,2,2,0.1,0.17834131319482951,0.9048374180359595,0.19709763283434636
20,2,2,0.1,0.20198971105050592,0.9048374180359595,0.22323315440352243
200,2,2,0.1,0.057333225886003286,0.9048374180359595,0.06336301388867274
3,2,2,0.2,0.047422596071490235,0.8187307530779818,0.05792208964083381
4,2,2,0.2,0.07881348722971894,0.8187307530779818,0.09626301068260004
8,2,2,0.2,0.11333382935932948,0.8187307530779818,0.13842625177233905
10,2,2,0.2,0.11420075679590477,0.8187307530779818,0.13948511933449687
100,2,2,0.2,0.010592871912973399,0.8187307530779818,0.012938162971343104
3,2,2,0.4,0.023115287752632954,0.6703200460356393,0.034483957162462615
4,2,2,0.4,0.03376896818565569,0.6703200460356393,0.05037738075322347
5,2,2,0.4,0.036406661001083425,0.6703200460356393,0.05431235604006951
8,2,2,0.4,0.030789275359657444,0.6703200460356393,0.04593220140401478
50,2,2,0.4,0.00021279646940106106,0.6703200460356393,0.00031745502862336774
3,2,2,0.8,0.0011484812448621317,0.44932896411722156,0.0025559920160466536
4,2,2,0.8,0.0007762513762070155,0.44932896411722156,0.0017275792085473171
8,2,2,0.8,3.6978867906171055e-05,0.44932896411722156,8.229798401450024e-05
25,2,2,0.8,2.9133076425403886e-11,0.44932896411722156,6.483685395763539e-11
3,2,4,0.03,0.014494367002957797,0.9417645335842487,0.01539064860278172
4,2,4,0.03,0.04430797119822325,0.9417645335842487,0.04704782312155264
8,2,4,0.03,0.13071741350984728,0.9417645335842487,0.13880052693463796
67,2,4,0.03,0.2522571379086815,0.9417645335842487,0.2678558481583709
667,2,4,0.03,0.11386199216903223,0.9417645335842487,0.12090282454753996
3,2,4,0.05,0.01321917753497655,0.9048374180359595,0.01460945057253501
4,2,4,0.05,0.04010737768615469,0.9048374180359595,0.04432550741901432
8,2,4,0.05,0.11549779760312191,0.9048374180359595,0.1276448070127576
40,2,4,0.05,0.19364352311630914,0.9048374180359595,0.21400919022185427
400,2,4,0.05,0.05868327327126784,0.9048374180359595,0.0648550469968912
3,2,4,0.1,0.010378036866159538,0.8187307530779818,0.012675762852615187
4,2,4,0.1,0.030789275359657444,0.8187307530779818,0.03760610584603856
8,2,4,0.1,0.08232069073178161,0.8187307530779818,0.10054671871344839
20,2,4,0.1,0.10862224144664454,0.8187307530779818,0.13267150530047156
200,2,4,0.1,0.01229336400787492,0.8187307530779818,0.015015148706285389
3,2,4,0.2,0.006040291111581372,0.6703200460356393,0.009011055461200132
4,2,4,0.2,0.016829841748957533,0.6703200460356393,0.025107173578489
