b,t,m,case,seed,delta,raw_krylov_condition,f,descent_norm,deterministic_alpha,derivative_relative_error,finite_difference_relative_error,moment_relative_residual,translation_relative_residual,log10_interpolation_bound_margin
3,4,12,geometric,11,0.4204217212151904,4207.52125618131,0.020867225427752184,0.13658827706597737,2.9979399704111355e-16,1.3572476476042539e-14,3.724918750391826e-07,9.557174557711147e-17,1.1408807352347662e-13,29.848911794692516
3,4,12,geometric,29,0.4204217212151904,3898.6667098639905,0.049109990229770056,0.1505204355739628,3.9478308563364396e-16,1.8041124150158794e-15,1.9190214725905985e-06,8.320193422421288e-17,5.747802450206031e-14,30.22061693468587
3,4,12,repeated,11,0.486582880967408,5049.933873781739,0.013417859652896439,0.3067864380551666,5.379100403665729e-16,1.6708856520608606e-14,3.122725977799945e-07,7.888840577248338e-17,1.2216405000916656e-13,29.403243613686985
3,4,12,repeated,29,0.486582880967408,23206.143660028836,0.00748369713487322,0.3392266197521687,7.083456894572543e-16,2.2148949341271873e-14,3.6475810649694296e-08,1.987492362478684e-16,8.648264265917887e-14,29.149676572015146
3,4,12,wide_bands,11,0.5034146962085904,36057.346319655495,0.0030255276658626828,0.22615735556098807,6.162911169778293e-16,5.56776846849516e-14,4.791316965402359e-08,6.580075879218673e-17,7.59681285089931e-13,28.697285239953818
3,4,12,wide_bands,29,0.5034146962085904,13197.944797714945,0.03531378672224697,0.20476194701253453,8.115616430296511e-16,1.7486012637846216e-15,2.8896556661661688e-06,6.149114814707029e-17,1.1580870106260717e-13,29.764428401179156
4,1,4,geometric,11,1.0,3.7673824054655056,0.7054855684433837,1.0000000000000002,0.00012960756234663864,2.2204460492503126e-16,3.5693670241698775e-12,0.0,1.5236260794896478e-16,18.431192412275134
4,1,4,geometric,29,1.0,3.4032817184086754,0.8551328242796498,1.0000000000000002,0.00014347364996522037,0.0,7.274181257344024e-12,0.0,2.263630817218625e-16,18.51473785526135
4,1,4,repeated,11,1.0,3.7673824054655056,0.7054855684433837,1.0000000000000002,0.00012960756234663864,2.2204460492503126e-16,3.5693670241698775e-12,0.0,1.5236260794896478e-16,18.431192412275134
4,1,4,repeated,29,1.0,3.4032817184086754,0.8551328242796498,1.0000000000000002,0.00014347364996522037,0.0,7.274181257344024e-12,0.0,2.263630817218625e-16,18.51473785526135
4,1,4,wide_bands,11,1.0,3.7673824054655056,0.7054855684433837,1.0000000000000002,0.00012960756234663864,2.2204460492503126e-16,3.5693670241698775e-12,0.0,1.5236260794896478e-16,18.431192412275134
4,1,4,wide_bands,29,1.0,3.4032817184086754,0.8551328242796498,1.0000000000000002,0.00014347364996522037,0.0,7.274181257344024e-12,0.0,2.263630817218625e-16,18.51473785526135
4,2,8,geometric,11,0.6810934426760296,555.5382096009589,0.01799396938506515,0.491429383758814,1.7007653023220532e-08,1.3877787807814457e-15,1.1631540164369625e-07,2.320501233255547e-16,9.302946464238465e-15,22.1211622740669
4,2,8,geometric,29,0.6810934426760296,132.67232760733842,0.09825855370055163,0.6892389982442234,2.003592055126174e-09,1.1102230246251565e-15,2.4041257840057284e-07,3.270679422363106e-16,2.1224542335243533e-15,22.858405664156454
4,2,8,repeated,11,0.8646647167633873,20.912427760075236,0.2839179477808709,0.8641915999109375,2.741110001832196e-08,6.661338147750939e-16,4.73205965523249e-08,1.9476241015266916e-16,7.347900228425234e-16,23.11194606684544
4,2,8,repeated,29,0.8646647167633873,67.36512216040653,0.14201961058033488,0.8644514446598743,3.2291734870176193e-09,7.771561172376096e-16,2.133234511259019e-08,2.977643811111944e-16,9.164770600766812e-16,22.811101537140264
4,2,8,wide_bands,11,0.5034146962085905,54.03898134849403,0.13024332252068607,0.4365597157988479,9.291434475701263e-09,1.1102230246251565e-16,8.428683776484647e-07,2.3844860776237643e-16,1.2368968995570175e-15,23.243352382004367
4,2,8,wide_bands,29,0.5034146962085905,126.71660019214083,0.08209571517121408,0.5139707071263584,1.0945804380430233e-09,1.2212453270876722e-15,1.8167280813052855e-07,3.102300816519566e-16,1.7793559875469452e-15,23.042917405961962
4,3,12,geometric,11,0.5167749188101745,699.0023600624636,0.049047556142402964,0.4117266114916774,1.5834720450059253e-13,1.0602629885170245e-14,4.2846879011460004e-07,2.557528739154691e-16,2.7210390423383353e-14,27.03339630968372
4,3,12,geometric,29,0.5167749188101745,585.6620188602183,0.07123820667596245,0.4837143291707726,6.660388972924473e-13,2.3314683517128287e-15,1.7968240002552704e-06,1.6763377460396262e-16,1.3519738242183015e-14,27.195491914871617
4,3,12,repeated,11,0.6321205588285577,1786.69762982545,0.07238646511234903,10.897388734823943,2.898049936071321e-13,1.434466601780335e-14,7.546334082180105e-07,5.784153503571194e-17,4.4586152999014644e-14,26.939940841860693
4,3,12,repeated,29,0.6321205588285577,327.8984394922942,0.1642605485790581,0.8482471922793348,1.2189757247733209e-12,1.887379141862766e-15,4.6268020566508916e-05,9.654027177588517e-17,1.0027986543870838e-14,27.295816741755242
4,3,12,wide_bands,11,0.5034146962085905,616.6468299257884,0.08554224760430053,0.3865653943509825,1.463806892347324e-13,4.218847493575595e-15,2.89448947105031e-06,6.488317807528108e-17,2.2084579433567364e-14,27.309086206706322
4,3,12,wide_bands,29,0.5034146962085905,424.06592310986014,0.08902291714054847,0.5520042859119516,6.157054249886979e-13,2.55351295663786e-15,1.346268115542948e-06,4.433270323056491e-17,1.0524086661841653e-14,27.326407370965466
4,4,16,geometric,11,0.4133537804899682,26103.440940887263,0.01078118748870484,0.15568325738356428,4.676904456689838e-16,8.826273045769994e-14,1.4596068048933208e-06,3.389065191463736e-16,5.550851345400458e-13,30.591076506056112
4,4,16,geometric,29,0.4133537804899682,6719.648553871823,0.04034839166644725,0.13417364303440368,1.870823668797318e-16,1.0630385460785874e-14,1.2260310450484813e-06,3.1126628435113415e-16,7.347864938133823e-14,31.16423613533677
4,4,16,repeated,11,0.486582880967408,4416.758721414705,0.07329468137403591,0.6351346322932433,8.980450920622991e-16,4.973799150320701e-14,6.740479095646013e-05,1.1495152781722453e-16,8.304910904329185e-14,31.140142722810804
4,4,16,repeated,29,0.486582880967408,2147.7993367532317,0.13521345385378383,0.2272685618197542,3.592299200113497e-16,5.384581669432009e-15,5.068725154516729e-06,8.235281352161365e-17,3.763400874695815e-14,31.406090168016334
4,4,16,wide_bands,11,0.5034146962085904,13661.341053949278,0.028759671393943535,0.5763028077591809,1.028902923073092e-15,1.1390888232654106e-13,1.3521703510765981e-05,1.0060990010717542e-16,2.278338174881474e-13,30.674777923801727
4,4,16,wide_bands,29,0.5034146962085904,2204.691771801029,0.16027192888394032,0.28445318199240766,4.1157478396346495e-16,6.161737786669619e-15,1.560354421126231e-05,1.0508586347036804e-16,4.919413145238758e-14,31.420851468006248
